,RCH_DID,MB_NM,시설명,방류량,geometry,인구수,희석배율,C_local,PEC_local
102,3101011000,삽교천,홍성,14601.7,POINT (126.69244004539114 36.60900747723445),44281.0,91.03050270540871,0.004189224627683301,4.6020009811880254e-05
103,3012022100,금강공주,수질복원센터(B),14404.5,POINT (127.26449844362895 36.46628760670841),46056.0,44.102904410335476,0.004416799428112705,0.00010014758635890729
104,2020061200,낙동밀양,북면,14339.3,POINT (128.63292499580055 35.35432404202143),43005.0,25.787286481450504,0.0041429591433077275,0.00016065898000892302
105,1016030101,경안천,모현,13988.6,POINT (127.24672723263694 37.34154984745865),42197.0,36.127165300039245,0.004167033322528548,0.00011534348980665863
106,1007180802,남한강하류,양평,12757.5,POINT (127.44778185500525 37.50646633232676),44553.0,14722.25372302279,0.004824263548272786,3.276851247800845e-07
107,1014100100,홍천강,홍천,12379.7,POINT (127.83465843666866 37.70344353258095),37221.0,1302.0000502982234,0.004153340776139356,3.1899697509136293e-06
108,3011040102,미호천,진천,12076.6,POINT (127.49394321520722 36.837939699489795),33408.0,29.874898777182782,0.003821425915288477,0.00012791427156925213
109,1018080900,한강서울,낙양,11950.1,POINT (127.0915284181875 37.744302132326155),81770.0,50.322607075591236,0.009452400349867121,0.0001878360621433695
110,1101130701,안성천,정남,11675.9,POINT (126.99258036732833 37.16547262522159),35605.0,64.66245991999492,0.004212503480686981,6.514604433389939e-05
111,3301111000,만경강,전북혁신도시 수질복원센터,11472.2,POINT (127.06187633442693 35.8435129596592),47772.0,118.02820963176765,0.00575236404886191,4.873719652961374e-05
112,1101120101,안성천,왕송,11253.3,POINT (126.95056206052921 37.303529912994115),28460.0,2.285040016968403,0.003493611820268733,0.0015289061873427318
113,1101170800,안성천,팽성,11034.9,POINT (127.03822620103453 36.94561367497158),24002.0,3.500973091398965,0.0030046831320286755,0.00085824228109906
114,1016030900,경안천,양벌,10943.1,POINT (127.26036088661581 37.39743815361236),30493.0,875.8239046914101,0.003849279397563694,4.3950380629539425e-06
115,1015080300,청평댐,월산,10424.0,POINT (127.34937108927633 37.653479488836005),16961.0,16.098903481169476,0.0022476914875192338,0.00013961767583415278
116,1018021400,한강서울,진접,10369.4,POINT (127.18811765468416 37.70864427852247),38422.0,122.63398826915365,0.0051185386774181265,4.1738336570968415e-05
117,1018080700,한강서울,남방,10337.7,POINT (127.04519210024468 37.764375523822956),17578.0,4.4379697611654425,0.0023489035524246254,0.0005292743481442258
118,1101121100,안성천,상현,10091.7,POINT (127.07606918897177 37.29273939261823),33930.0,1.8363216300924492,0.00464450224806839,0.0025292422481755354
